name,prob_f,prob_m,gender
MARIA CARMEN,1.0,0.0,F
MARIA,0.9996835590784825,0.0003164409215174639,F
CARMEN,1.0,0.0,F
ANA MARIA,1.0,0.0,F
MARIA PILAR,1.0,0.0,F
LAURA,1.0,0.0,F
JOSEFA,1.0,0.0,F
ISABEL,1.0,0.0,F
MARIA DOLORES,1.0,0.0,F
MARIA TERESA,1.0,0.0,F
ANA,1.0,0.0,F
MARTA,1.0,0.0,F
CRISTINA,1.0,0.0,F
MARIA ANGELES,1.0,0.0,F
LUCIA,1.0,0.0,F
MARIA ISABEL,1.0,0.0,F
MARIA JOSE,1.0,0.0,F
FRANCISCA,1.0,0.0,F
ANTONIA,1.0,0.0,F
DOLORES,0.9998785878665128,0.00012141213348712204,F
SARA,0.9997927091190714,0.00020729088092866313,F
PAULA,1.0,0.0,F
ELENA,1.0,0.0,F
MARIA LUISA,1.0,0.0,F
RAQUEL,1.0,0.0,F
ROSA MARIA,1.0,0.0,F
MANUELA,1.0,0.0,F
PILAR,0.9997959243170753,0.00020407568292469608,F
CONCEPCION,0.9992976808837516,0.0007023191162484454,F
MARIA JESUS,1.0,0.0,F
MERCEDES,0.9997478529294905,0.0002521470705094899,F
JULIA,0.9936514180073162,0.00634858199268379,F
BEATRIZ,1.0,0.0,F
ALBA,1.0,0.0,F
SILVIA,1.0,0.0,F
NURIA,1.0,0.0,F
IRENE,1.0,0.0,F
ROSARIO,0.9971414247139225,0.002858575286077419,F
PATRICIA,1.0,0.0,F
JUANA,1.0,0.0,F
TERESA,1.0,0.0,F
ENCARNACION,0.9996612466124661,0.00033875338753387534,F
ANDREA,0.9763101349468214,0.023689865053178577,F
ROCIO,1.0,0.0,F
MONTSERRAT,0.9997114238903783,0.00028857610962168605,F
MONICA,1.0,0.0,F
ALICIA,1.0,0.0,F
MARIA MAR,1.0,0.0,F
SANDRA,1.0,0.0,F
SONIA,1.0,0.0,F
MARINA,1.0,0.0,F
ROSA,1.0,0.0,F
ANGELA,1.0,0.0,F
SUSANA,1.0,0.0,F
NATALIA,1.0,0.0,F
YOLANDA,1.0,0.0,F
MARGARITA,1.0,0.0,F
SOFIA,1.0,0.0,F
CLAUDIA,1.0,0.0,F
MARIA JOSEFA,1.0,0.0,F
EVA,1.0,0.0,F
CARLA,1.0,0.0,F
MARIA ROSARIO,1.0,0.0,F
INMACULADA,1.0,0.0,F
MARIA MERCEDES,1.0,0.0,F
ANA ISABEL,1.0,0.0,F
NOELIA,1.0,0.0,F
ESTHER,1.0,0.0,F
VERONICA,1.0,0.0,F
NEREA,1.0,0.0,F
CAROLINA,1.0,0.0,F
DANIELA,1.0,0.0,F
INES,1.0,0.0,F
EVA MARIA,1.0,0.0,F
MARIA VICTORIA,1.0,0.0,F
ANGELES,1.0,0.0,F
